t_s,rss_bytes,vms_bytes
26.855,189792256,446946557952
26.955,189792256,446946557952
27.060,189857792,446946557952
27.165,189857792,446946557952
27.270,189857792,446946557952
27.375,189857792,446946557952
27.478,189874176,446946557952
27.582,189988864,446946557952
27.687,190038016,446946557952
27.787,213041152,446949752832
27.892,223854592,446951374848
27.997,225558528,446951669760
28.102,229490688,446952161280
28.207,234831872,446952603648
28.312,244645888,446952669184
28.416,244645888,446952669184
28.518,244645888,446952669184
28.623,244645888,446952669184
28.728,244645888,446952669184
28.833,244645888,446952669184
28.934,244645888,446952669184
29.037,244645888,446952669184
29.141,244645888,446952669184
29.244,244645888,446952669184
29.348,244662272,446952669184
29.450,244678656,446952669184
29.553,244695040,446952669184
29.658,244695040,446952669184
29.763,247267328,446952669184
29.868,247267328,446952669184
29.973,249069568,446952669184
30.078,249069568,446952669184
30.182,340115456,446971641856
30.287,375488512,446975836160
30.392,375504896,446975836160
30.497,375504896,446975836160
30.598,375668736,446975836160
30.699,375685120,446975901696
30.804,375701504,446975901696
30.908,375701504,446975901696
31.012,375734272,446975901696
31.114,375750656,446975901696
31.215,375816192,446975901696
31.320,375865344,446975901696
31.425,375865344,446975901696
31.530,375865344,446975901696
31.633,375865344,446975901696
31.733,375865344,446975901696
31.839,375865344,446975901696
31.942,375865344,446975901696
32.047,375865344,446975901696
32.148,375865344,446975901696
32.253,375865344,446975901696
32.358,375865344,446975901696
32.462,375865344,446975901696
32.567,375865344,446975901696
32.671,375865344,446975901696
32.775,375865344,446975901696
32.877,375865344,446975901696
32.982,375865344,446975901696
33.087,375865344,446975901696
33.190,375865344,446975901696
33.291,375947264,446975328256
33.396,375996416,446975328256
33.500,375996416,446975328256
33.600,375996416,446975328256
33.705,375996416,446975328256
33.811,375996416,446975328256
33.912,376061952,446975328256
34.017,376078336,446975328256
34.122,376094720,446975328256
34.227,376094720,446975328256
34.332,376094720,446975328256
34.436,376094720,446975328256
34.541,376094720,446975328256
34.647,376094720,446975328256
34.752,376111104,446975328256
34.857,376111104,446975328256
34.962,376111104,446975328256
35.067,376111104,446975328256
35.172,376111104,446975328256
35.277,376111104,446975328256
35.382,376111104,446975328256
35.486,376111104,446975328256
35.591,376111104,446975328256
35.696,376111104,446975328256
35.800,376111104,446975328256
35.903,376111104,446975328256
36.008,376111104,446975328256
36.113,376111104,446975328256
36.215,376143872,446975328256
36.320,376143872,446975328256
36.425,376143872,446975328256
36.529,376143872,446975328256
36.632,376143872,446975328256
36.733,376143872,446975328256
36.838,376209408,446975328256
